orderId,listingId,buyerId,sellerId,totalPrice,quantity,status,deliveryMethod,meetingLocation,isReviewed,buyerRating
O001,L001,BUYER-001,SELLER-001,199.99,1,PENDING,MeetUp,Library,false,0
O002,L002,BUYER-002,SELLER-001,88.5,2,COMPLETED,Delivery,MIT,true,5
O003,L003,BUYER-003,SELLER-001,45.0,1,ACCEPTED,MeetUp,Student Center,false,0
O004,L004,BUYER-001,SELLER-001,320.75,1,CANCELLED,Delivery,Dorm,false,0
<<<<<<< Updated upstream
=======
ORD-E7DDD279,LST-59ABB8F8,BUYER-002,SELLER-FC0FF2B9,1203.04,1,PENDING,Meet at Student Center,Dormitory B,false,0
ORD-DDE1245B,LST-EC29F700,BUYER-306B14B7,SELLER-2D176B99,1785.19,1,ACCEPTED,Campus Delivery,Library,false,0
ORD-3D4A560A,LST-709431F7,BUYER-306B14B7,SELLER-2EE66CD6,1351.68,1,PENDING,Meet at Student Center,Main Campus,false,0
ORD-F228242B,LST-D1A13863,BUYER-19443CAC,SELLER-001,1084.22,1,ACCEPTED,Pickup,West Campus,false,0
ORD-27B841BC,LST-8854FF3E,BUYER-87A1B58E,SELLER-FC0FF2B9,1670.73,1,COMPLETED,Meet at Student Center,Student Center,false,0
ORD-C4608FFA,L006,BUYER-003,SELLER-001,35.0,1,ACCEPTED,Campus Delivery,Library,false,0
ORD-FC4C242A,LST-5052ECE6,BUYER-87A1B58E,SELLER-001,635.98,1,PENDING,Pickup,East Campus,false,0
ORD-CEBE36AE,LST-C7705FBE,BUYER-003,SELLER-FC0FF2B9,658.09,1,COMPLETED,Campus Delivery,Dormitory A,false,0
ORD-BCCFDECC,LST-59ABB8F8,BUYER-87A1B58E,SELLER-FC0FF2B9,1203.04,1,PENDING,Meet at Student Center,Library,false,0
ORD-AA83656E,LST-3B5F8265,BUYER-003,SELLER-001,1532.43,1,REJECTED,Pickup,Dormitory A,false,0
ORD-627C35FF,L002,BUYER-19443CAC,ADMIN_002,900.0,1,COMPLETED,Pickup,Dormitory A,false,0
ORD-2C7DEC02,LST-3FF92156,BUYER-003,SELLER-001,1889.34,1,COMPLETED,Meet at Student Center,Dormitory B,false,0
ORD-D2225CDE,LST-EC29F700,BUYER-87A1B58E,SELLER-2D176B99,1785.19,1,CANCELLED,Campus Delivery,Student Center,false,0
ORD-CF311164,LST-709431F7,BUYER-6473141D,SELLER-2EE66CD6,1351.68,1,PENDING,Pickup,West Campus,false,0
ORD-9A17DBEB,LST-5A2ABC47,BUYER-19443CAC,SELLER-2EE66CD6,342.87,1,PENDING,Campus Delivery,East Campus,false,0
>>>>>>> Stashed changes
